symbol,timeframe,scenario,entryAt,direction,bigbar,chopCut,alignCut,dedupCut,touchStatus,touchNetR,closeStatus,closeNetR,confirmStatus,confirmNetR,exit141R,exitCanonR,touchDelayBars,tpDistRatio,fixed1R,fixed15R,fixed2R,fixed3R
BTC/USDT,15m,deep,1770844500000,short,false,true,false,true,entered,1.5873294300398415,entered,2.3689190383462946,entered,1.6044784043538567,2.660842519045071,1.2957766850713042,24,1.617801047120401,0.9694048227100165,1.4695048227100083,1.9696048227100165,2.9698048227100164
BTC/USDT,15m,ote,1770936300000,short,false,true,false,true,entered,-1.0291656235194089,entered,-1.0444045887119568,entered,-1.043378729281768,-1.0291656235194089,-1.0291656235194089,19,0.2722646310432533,-1.0291656235194089,-1.0291656235194089,-1.0291656235194089,-1.0291656235194089
BTC/USDT,15m,ote,1771144200000,long,false,true,false,true,entered,0.24656067187255418,missed-tp,0,missed-tp,0,-1.057011389050128,-1.057011389050128,4,0.27226463104326415,-1.057011389050128,-1.057011389050128,-1.057011389050128,-1.057011389050128
BTC/USDT,15m,deep,1771159500000,long,true,true,false,true,entered,-1.1170946382026181,entered,-1.7996206270627253,entered,-1.314164486888952,-1.1170946382026181,-1.1170946382026181,21,1.6178010471204107,-1.1170946382026181,-1.1170946382026181,-1.1170946382026181,-1.1170946382026181
BTC/USDT,15m,ote,1771244100000,short,false,true,false,true,entered,0.2523781904537384,missed-tp,0,missed-tp,0,0.7741110148812202,1.4103705568659508,91,0.27226463104325244,0.9802591064842774,1.4803591064842772,1.9804591064842771,2.980659106484277
BTC/USDT,15m,ote,1771244100000,short,false,false,false,true,entered,0.2564610259592444,entered,0.46701734756304225,entered,0.40771810058051783,0.7781938503867263,0.3712566099318599,73,0.2722646310432609,0.9843419419897748,1.4844419419897747,1.9845419419897747,2.984741941989775
BTC/USDT,15m,deep,1771246800000,short,false,false,false,true,entered,1.5850721633611606,entered,0.6507416507305096,entered,0.6507416507305096,2.6585852523663953,3.967747556031317,76,1.6178010471204196,0.967147556031317,1.467247556031317,1.967347556031317,2.967547556031317
BTC/USDT,15m,ote,1771274700000,short,false,true,false,true,entered,0.2555760256269649,entered,0.26076020599250205,entered,0.2553562558269598,0.7773088500544474,0.3698184843919117,20,0.2722646310432558,0.9834569416575003,1.4835569416575003,1.9836569416575003,2.9838569416575003
BTC/USDT,15m,ote,1771344000000,short,false,true,false,true,entered,0.25491314052730757,entered,0.26292586763253595,entered,0.11285619124985269,0.7766459649547842,0.3687412961049629,5,0.2722646310432582,0.9827940565578407,1.4828940565578408,1.9829940565578408,2.9831940565578408
BTC/USDT,15m,ote,1771344000000,short,false,true,false,true,entered,0.2639458409230494,entered,0.25577320344443116,entered,0.18087019485625805,0.7856786653505307,0.3834194342480452,3,0.2722646310432586,0.9918267569535821,1.4919267569535821,-1.0195397968544402,-1.0195397968544402
BTC/USDT,15m,ote,1771599600000,short,false,true,false,true,entered,0.2438665644122461,missed-tp,0,missed-tp,0,0.7655993888397309,0.35079060991800076,5,0.2722646310432505,-1.0647181690037293,-1.0647181690037293,-1.0647181690037293,-1.0647181690037293
BTC/USDT,15m,deep,1771599600000,short,false,true,false,true,entered,1.5591579047854296,missed-tp,0,missed-tp,0,2.632670993790682,1.249997956532865,5,1.6178010471204285,0.9412332974555768,1.441333297455577,1.941433297455577,-1.1333750807249519
BTC/USDT,15m,ote,1771839000000,short,false,true,false,true,entered,0.26141147348682225,entered,0.24284969254735186,entered,0.2614555795955772,0.7831442979143034,0.37930108716418093,33,0.27226463104325427,0.9892923895173593,1.4893923895173593,-1.0252421235859417,-1.0252421235859417
BTC/USDT,15m,ote,1771839900000,short,false,true,false,true,entered,0.2665558713682369,entered,0.27046507000898473,entered,0.24558750563922047,0.7882886957957178,0.3876607337214751,31,0.27226463104325827,-1.0136672283527675,-1.0136672283527675,-1.0136672283527675,-1.0136672283527675
BTC/USDT,15m,ote,1771871400000,short,false,true,false,true,entered,0.25530893357288253,entered,0.09946646863533018,missed-tp,0,0.777041758000365,0.36938445980402357,4,0.2722646310432596,0.9831898496034144,1.4832898496034141,-1.0389728383923178,-1.0389728383923178
BTC/USDT,15m,deep,1771981200000,short,false,true,false,true,entered,1.5827016277180095,missed-tp,0,missed-tp,0,-1.0804017041266012,-1.0804017041266012,126,1.6178010471204083,0.9647770203881773,1.4648770203881771,1.9649770203881771,-1.0804017041266012
BTC/USDT,15m,ote,1772062200000,long,false,true,false,true,entered,0.2670212844867228,entered,0.2470341627756891,entered,0.18359995856453115,0.7885454575147129,0.38843522342323833,20,0.2722646310432587,0.9946111063696728,1.494511106369674,1.9944111063696728,-1.010975010668236
BTC/USDT,15m,ote,1772304300000,short,false,true,false,true,entered,-1.0149842395175914,entered,-1.0230514784294715,entered,-1.0222075736325384,-1.0149842395175914,-1.0149842395175914,49,0.27226463104325926,-1.0149842395175914,-1.0149842395175914,-1.0149842395175914,-1.0149842395175914
BTC/USDT,15m,ote,1772971200000,long,true,true,true,true,entered,0.23621994632674667,missed-tp,0,missed-tp,0,-1.0802780215281618,-1.0802780215281618,12,0.2722646310432495,-1.0802780215281618,-1.0802780215281618,-1.0802780215281618,-1.0802780215281618
BTC/USDT,15m,deep,1772972100000,long,false,true,true,true,entered,1.5438473241173067,entered,0.0071649321266968255,entered,0.0071649321266968255,-1.1649678662856924,-1.1649678662856924,13,1.6178010471203719,0.9261698372063589,1.426069837206359,-1.1649678662856924,-1.1649678662856924
BTC/USDT,15m,ote,1773034200000,short,false,true,false,true,entered,-1.0107038386664124,entered,-1.0161465263671081,entered,-1.0160827065356408,-1.0107038386664124,-1.0107038386664124,29,0.2722646310432575,-1.0107038386664124,-1.0107038386664124,-1.0107038386664124,-1.0107038386664124
BTC/USDT,15m,deep,1773026100000,short,false,true,false,true,entered,-1.0842935121665978,entered,-1.096223164415557,entered,-1.096223164415557,-1.0842935121665978,-1.0842935121665978,20,1.6178010471204118,-1.0842935121665978,-1.0842935121665978,-1.0842935121665978,-1.0842935121665978
BTC/USDT,15m,ote,1773229500000,long,false,true,false,true,entered,0.244022003557035,missed-tp,0,missed-tp,0,0.7655461765850173,1.401551265643537,132,0.27226463104324766,0.9716118254399959,1.4715118254399961,1.971411825439996,2.971211825439996
BTC/USDT,15m,ote,1773145800000,long,false,true,false,true,entered,0.24280338120144757,entered,0.07055805403397433,entered,0.07055805403397433,-1.0654652930601183,-1.0654652930601183,17,0.2722646310432644,-1.0654652930601183,-1.0654652930601183,-1.0654652930601183,-1.0654652930601183
