symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be
BTC/USDT,1h,age0,full,local,choch,0,ote,tight,310,211,211,0.4929,0.2464,0.5071,0.0521,0.1363,103,0.0362,0.1622,108,0.0673,0.1117
BTC/USDT,1h,age0,full,local,choch,0,deep,zero,310,158,158,0.3291,0.1962,0.6709,0.2148,0.2928,79,0.1213,0.2502,79,0.3082,0.3353
BTC/USDT,1h,age0,full,local,choch,0,breaker,zero,222,147,147,0.7211,0.3878,0.2789,0.0167,0.1423,73,0.0430,0.2004,74,-0.0092,0.0849
BTC/USDT,1h,age0,full,local,choch,5,ote,zero,41,17,16,0.5882,0.1765,0.3529,0.1212,0.0668,6,-0.2824,-0.0280,11,0.3046,0.1099
BTC/USDT,1h,age0,full,local,choch,5,ote,tight,41,17,17,0.5882,0.1765,0.4118,0.2556,0.1825,6,-0.2885,0.0145,11,0.5524,0.2740
BTC/USDT,1h,age0,full,local,choch,5,deep,zero,41,2,2,0.5000,0.5000,0.5000,0.8455,1.5000,1,2.6911,4.0000,1,-1.0000,-1.0000
BTC/USDT,1h,age0,full,local,choch,5,breaker,zero,24,10,10,0.9000,0.5000,0.1000,0.2690,0.4370,6,0.1750,0.4742,4,0.4100,0.3813
BTC/USDT,1h,age0,full,global,bos,0,ote,zero,423,188,184,0.5851,0.3138,0.3936,0.0724,0.1664,108,0.0493,0.1484,80,0.1039,0.1908
BTC/USDT,1h,age0,full,global,bos,0,ote,tight,423,188,185,0.4840,0.2447,0.5000,0.0500,0.1380,108,0.0069,0.1293,80,0.1078,0.1498
BTC/USDT,1h,age0,full,global,bos,0,deep,zero,423,37,37,0.2703,0.1622,0.7297,-0.0024,0.0644,26,0.2777,0.3224,11,-0.6644,-0.5455
BTC/USDT,1h,age0,full,global,bos,0,breaker,zero,206,76,76,0.7632,0.4342,0.2368,0.0761,0.2257,37,0.0289,0.1651,39,0.1208,0.2832
BTC/USDT,1h,age0,full,global,bos,5,ote,zero,383,165,161,0.5697,0.2970,0.4061,0.0474,0.1300,91,0.0078,0.0982,74,0.0963,0.1694
BTC/USDT,1h,age0,full,global,bos,5,ote,tight,383,165,162,0.4667,0.2303,0.5152,0.0146,0.0912,91,-0.0407,0.0693,74,0.0819,0.1180
BTC/USDT,1h,age0,full,global,bos,5,deep,zero,383,27,27,0.2222,0.1481,0.7778,-0.1798,-0.0855,19,0.1656,0.2995,8,-1.0000,-1.0000
BTC/USDT,1h,age0,full,global,bos,5,breaker,zero,184,68,68,0.7353,0.4265,0.2647,0.0368,0.1867,31,-0.0448,0.0892,37,0.1051,0.2684
BTC/USDT,1h,age0,full,global,choch,0,ote,zero,310,202,201,0.5644,0.3317,0.4307,0.0174,0.1367,100,0.0510,0.2254,102,-0.0151,0.0505
BTC/USDT,1h,age0,full,global,choch,0,ote,tight,310,202,202,0.4802,0.2574,0.5198,0.0250,0.1327,100,0.0246,0.1804,102,0.0254,0.0858
BTC/USDT,1h,age0,full,global,choch,0,deep,zero,310,114,114,0.3070,0.1930,0.6930,0.1332,0.2324,56,0.3182,0.5013,58,-0.0454,-0.0273
BTC/USDT,1h,age0,full,global,choch,0,breaker,zero,206,126,125,0.6905,0.4286,0.3016,-0.0186,0.1432,63,0.0071,0.1740,63,-0.0448,0.1119
BTC/USDT,1h,age0,full,global,choch,5,ote,zero,91,54,53,0.6481,0.3333,0.3333,0.1846,0.2734,29,0.1532,0.3408,25,0.2198,0.1979
BTC/USDT,1h,age0,full,global,choch,5,ote,tight,91,54,54,0.5741,0.2778,0.4259,0.2254,0.3098,29,0.0305,0.2657,25,0.4515,0.3610
BTC/USDT,1h,age0,full,global,choch,5,deep,zero,91,13,13,0.3077,0.2308,0.6923,0.1357,0.3343,8,0.8455,1.1682,5,-1.0000,-1.0000
BTC/USDT,1h,age0,full,global,choch,5,breaker,zero,56,33,33,0.8485,0.5152,0.1515,0.1964,0.3856,21,0.1414,0.3448,12,0.2925,0.4571
BTC/USDT,1h,age10,full,local,bos,0,ote,zero,360,205,203,0.6293,0.3707,0.3610,0.1400,0.2745,113,0.0828,0.2341,92,0.2089,0.3232
BTC/USDT,1h,age10,full,local,bos,0,ote,tight,360,205,203,0.4976,0.2537,0.4927,0.0725,0.1657,113,-0.0000,0.1066,92,0.1601,0.2369
BTC/USDT,1h,age10,full,local,bos,0,deep,zero,360,115,115,0.3739,0.2435,0.6261,0.3802,0.5233,69,0.4978,0.6443,46,0.2036,0.3419
BTC/USDT,1h,age10,full,local,bos,0,breaker,zero,198,121,121,0.8182,0.4545,0.1818,0.1536,0.3064,61,0.1095,0.2834,60,0.1985,0.3298
BTC/USDT,1h,age10,full,local,bos,5,ote,zero,181,71,69,0.5634,0.3099,0.4085,0.0399,0.1392,34,-0.1591,-0.1192,37,0.2121,0.3627
BTC/USDT,1h,age10,full,local,bos,5,ote,tight,181,71,69,0.4648,0.2113,0.5070,0.0209,0.0705,34,-0.1995,-0.2277,37,0.2115,0.3285
BTC/USDT,1h,age10,full,local,bos,5,deep,zero,181,17,17,0.4118,0.2941,0.5882,0.5199,0.7465,11,1.0133,1.2446,6,-0.3848,-0.1667
BTC/USDT,1h,age10,full,local,bos,5,breaker,zero,74,34,34,0.7059,0.3529,0.2941,-0.0047,0.0994,12,-0.0600,-0.0204,22,0.0255,0.1648
BTC/USDT,1h,age10,full,local,choch,0,ote,zero,223,158,157,0.5633,0.3481,0.4304,0.0169,0.1538,82,-0.0034,0.1587,76,0.0386,0.1486
BTC/USDT,1h,age10,full,local,choch,0,ote,tight,223,158,158,0.4937,0.2848,0.5063,0.0538,0.1942,82,0.0152,0.1775,76,0.0954,0.2122
BTC/USDT,1h,age10,full,local,choch,0,deep,zero,223,103,103,0.3010,0.1942,0.6990,0.1109,0.2214,56,-0.0113,0.1497,47,0.2565,0.3068
BTC/USDT,1h,age10,full,local,choch,0,breaker,zero,156,106,106,0.6604,0.3962,0.3396,-0.0689,0.0751,55,-0.0515,0.1055,51,-0.0876,0.0424
BTC/USDT,1h,age10,full,local,choch,5,ote,zero,51,32,31,0.6875,0.4063,0.2813,0.2731,0.4246,16,0.3155,0.6443,16,0.2333,0.2187
BTC/USDT,1h,age10,full,local,choch,5,ote,tight,51,32,32,0.6250,0.3438,0.3750,0.3341,0.4870,16,0.3341,0.7177,16,0.3341,0.2564
BTC/USDT,1h,age10,full,local,choch,5,deep,zero,51,7,7,0.5714,0.5714,0.4286,1.1092,1.8571,2,2.6911,4.0000,5,0.4764,1.0000
BTC/USDT,1h,age10,full,local,choch,5,breaker,zero,28,14,14,0.9286,0.5714,0.0714,0.3093,0.5218,10,0.2690,0.5780,4,0.4100,0.3813
BTC/USDT,1h,age10,full,global,bos,0,ote,zero,360,170,165,0.5706,0.3000,0.4000,0.0546,0.1406,86,0.0464,0.1592,84,0.0630,0.1212
BTC/USDT,1h,age10,full,global,bos,0,ote,tight,360,170,165,0.4706,0.2353,0.5000,0.0349,0.1178,86,-0.0090,0.1495,84,0.0804,0.0849
BTC/USDT,1h,age10,full,global,bos,0,deep,zero,360,36,36,0.3056,0.1944,0.6944,0.1278,0.2328,21,0.4061,0.3992,15,-0.2618,-0.0000
BTC/USDT,1h,age10,full,global,bos,0,breaker,zero,167,68,68,0.6618,0.3971,0.3382,-0.0669,0.0774,30,-0.1070,0.0452,38,-0.0353,0.1028
BTC/USDT,1h,age10,full,global,bos,5,ote,zero,342,159,154,0.5535,0.2704,0.4151,0.0251,0.0867,77,0.0046,0.0853,82,0.0445,0.0880
BTC/USDT,1h,age10,full,global,bos,5,ote,tight,342,159,154,0.4591,0.2075,0.5094,0.0118,0.0593,77,-0.0323,0.0845,82,0.0538,0.0354
