id,symbol,timeframe,scenario,direction,entryAt,exitAt,netR,status,equityBefore,equityAfter,pnl,openRiskPct
LTC/USDT|1h|deep|4947:high:4920:70.17:structural|4993,LTC/USDT,1h,deep,long,1729897200000,1729897200000,-1.1060043748336137,accepted,10495.357602931672,10437.318045810243,-58.039557121428295,1.5
DOGE/USDT|1h|deep|5009:low:4955:0.1331:structural|5049,DOGE/USDT,1h,deep,short,1730044800000,1730124000000,-1.0321920662904396,accepted,10437.318045810243,10383.451461409066,-53.866584401176844,1.5
AVAX/USDT|1h|deep|4988:low:4940:25.86:structural|5068,AVAX/USDT,1h,deep,short,1730167200000,1730595600000,3.940892140495657,accepted,10383.451461409066,10588.051772686491,204.60031127742567,1.5
ADA/USDT|1h|deep|5165:high:5117:0.36:structural|5187,ADA/USDT,1h,deep,long,1730595600000,1730638800000,-1.0472013039237154,accepted,10588.051772686491,10532.612664574646,-55.43910811184549,1.5
XRP/USDT|1h|deep|5204:low:5147:0.5027:structural|5257,XRP/USDT,1h,deep,short,1730793600000,1730858400000,-1.0878661205877385,accepted,10532.612664574646,10475.322302179326,-57.290362395320514,1.5
LINK/USDT|1h|deep|5225:low:5201:10.523:structural|5248,LINK/USDT,1h,deep,short,1730815200000,1730822400000,-1.1041879361284022,capacity-rejected,10532.612664574646,10532.612664574646,0,1.5
BNB/USDT|1h|deep|5123:low:5047:585.37:structural|5283,BNB/USDT,1h,deep,short,1730941200000,1731114000000,-1.0812332570564116,accepted,10475.322302179326,10368.988316357352,-56.6313342575051,1.5
LINK/USDT|1h|deep|5353:high:5329:13.757:structural|5429,LINK/USDT,1h,deep,long,1731466800000,1731470400000,-1.1029559285494301,accepted,10368.988316357352,10311.805630674422,-57.18268568293058,1
LTC/USDT|1h|deep|5431:low:5375:73.5:structural|5453,LTC/USDT,1h,deep,short,1731553200000,1731553200000,-1.031500062117313,accepted,10311.805630674422,10258.622489931511,-53.18314074291162,1
LINK/USDT|1h|deep|5465:low:5432:13.07:structural|5496,LINK/USDT,1h,deep,short,1731708000000,1731754800000,-1.0392257265834626,accepted,10258.622489931511,10205.31736787729,-53.30512205422262,1
APT/USDT|1h|deep|5574:high:5535:12.2821:structural|5583,APT/USDT,1h,deep,long,1732125600000,1732449600000,1.311224995633269,accepted,10205.31736787729,10474.547636994208,66.90733610565512,1
LINK/USDT|1h|deep|5562:high:5523:14.906:structural|5613,LINK/USDT,1h,deep,long,1732129200000,1732320000000,3.9650493114129897,accepted,10205.31736787729,10407.640300888554,202.32293301126435,1.5
