time,open,high,low,close,GGI Mean,GGI Upper Inner,GGI Lower Inner,Shapes,Shapes
1781954400,63636.4,63717.8,63625.4,63686.9,63597.60922007859,63955.738692554034,63241.48514573751,0,0
1781954700,63686.9,63688.6,63665,63665,63598.688179731565,63955.65644969343,63243.71232690421,0,0
1781955000,63665,63676.7,63651,63651,63599.77900639455,63955.43086831858,63246.1049006231,0,0
1781955300,63651,63678.8,63651,63670.8,63600.88717241557,63955.086876550595,63248.64911725229,0,0
1781955600,63670.8,63708.3,63667.6,63694.6,63602.03332022594,63954.7225115685,63251.289093395855,0,0
1781955900,63694.6,63729.9,63682.6,63722.8,63603.2355137568,63954.395695929365,63254.003478542734,0,0
1781956200,63722.8,63790.4,63661,63661,63604.482804690524,63954.54302609388,63256.33866544194,0,0
1781956500,63661,63682.2,63652.7,63652.9,63605.73199051241,63954.56168571579,63258.80492982091,0,0
1781956800,63652.9,63679.9,63646,63662.9,63606.98210567997,63954.4814761234,63261.3708877111,0,0
1781957100,63662.9,63762.6,63637.2,63759.2,63608.286596191785,63954.858240484464,63263.59302508905,0,0
1781957400,63759.2,63760.8,63701,63730,63609.65237879508,63955.32617106393,63265.84692772336,0,0
1781957700,63730,63743.6,63683,63714.9,63611.05932035208,63955.869043172206,63268.108594160876,0,0
1781958000,63714.9,63747.3,63670,63719.7,63612.50283244385,63956.57227267684,63270.28439478175,0,0
1781958300,63719.7,63727.7,63704,63709,63613.981124873986,63957.13852966909,63272.66490633537,0,0
1781958600,63709,63721.1,63652.2,63661.9,63615.457360330016,63957.78456135312,63274.96242903553,0,0
1781958900,63661.9,63661.9,63537.7,63575.9,63616.846667598584,63958.72341887632,63276.797340428406,0,0
1781959200,63575.9,63599.7,63561.6,63593.7,63618.144879870604,63959.46685941443,63278.644377262724,0,0
1781959500,63593.7,63600,63561,63579.6,63619.35006243117,63960.02288497156,63280.49177914175,0,0
1781959800,63579.6,63581.8,63514.5,63559.7,63620.437846475084,63960.52578671003,63282.158206057415,0,0
1781960100,63559.7,63624.4,63531,63624.3,63621.45211088449,63961.15919708336,63283.54925878429,0,0
1781960400,63624.3,63624.3,63586.7,63597.6,63622.40437121991,63961.622647758406,63284.98512720083,0,0
1781960700,63597.6,63624.4,63584.4,63590.1,63623.29327854457,63961.93298482589,63286.446464462075,0,0
1781961000,63590.1,63606.6,63555,63555.5,63624.09439021418,63962.13324601873,63287.842064380326,0,0
1781961300,63555.5,63590.8,63517.2,63517.2,63624.78114427596,63962.31806685613,63289.02544504022,0,0
1781961600,63517.2,63517.2,63250.3,63303.6,63625.17906306222,63963.36372887973,63288.78243435731,0,0
1781961900,63303.6,63344.3,63238.3,63320.4,63625.24596834516,63964.30034023536,63287.98881563013,0,0
1781962200,63320.4,63392.3,63314.5,63333.5,63625.040566758595,63965.0218805234,63286.8662920647,0,0
1781962500,63333.5,63444.4,63328.1,63420.3,63624.62415626761,63965.79631687736,63285.2716938384,0,0
1781962800,63420.3,63440,63413.9,63431.2,63624.036109762026,63966.1584278322,63283.74362927157,0,0
1781963100,63431.2,63461,63414,63459.1,63623.30027092358,63966.25556713114,63282.183730699995,0,0
1781963400,63459.1,63462.7,63348.9,63348.9,63622.36773841452,63966.407223211885,63280.178649352005,0,0
1781963700,63348.9,63405.6,63332.5,63369.6,63621.23091472793,63966.372013888766,63277.95208123232,0,0
1781964000,63369.6,63389.9,63320,63320,63619.874649248224,63966.11544420948,63275.508013554936,0,0
1781964300,63320,63320.1,63210,63217.4,63618.21847481249,63965.7758101547,63272.54958840755,0,0
1781964600,63217.4,63266.6,63154.5,63189.2,63616.23262958236,63965.32384824215,63269.04657877937,0,0
1781964900,63189.2,63311,63189.2,63297.4,63613.994015818025,63964.87848286883,63265.03435363104,0,0
1781965200,63297.4,63340.4,63263.9,63324.5,63611.5582383912,63964.23454264272,63260.82646730684,0,0
1781965500,63324.5,63348,63316.2,63347.9,63608.96316544358,63963.18412376324,63256.70384316552,1,0
1781965800,63347.9,63406.3,63311.7,63378.6,63606.2455454204,63962.116000283284,63252.35507165515,0,0
1781966100,63378.6,63434,63374.1,63380,63603.44289130799,63960.87209757726,63248.01108803378,0,0
1781966400,63380,63499.7,63330,63480,63600.600859266626,63960.09930205579,63243.123037642516,0,0
1781966700,63480,64143,63469.1,63929.9,63598.12014511845,63962.90284022547,63235.417818611684,0,0
1781967000,63929.9,63991.8,63827.6,63872.8,63596.03552462,63966.40977230353,63227.805794407985,0,0
1781967300,63872.8,63964.8,63865.2,63925.7,63594.352094246824,63970.25714080989,63220.65595867376,0,0
1781967600,63925.7,64015,63853.3,63997.1,63593.08912327785,63974.79756034123,63213.65816635481,0,0
1781967900,63997.1,63997.1,63847,63853.2,63592.17573190355,63979.87995701402,63206.82091048483,0,0
1781968200,63853.2,63985.4,63810,63983.2,63591.62362408288,63985.639460035934,63200.03409003587,0,0
1781968500,63983.2,64332.9,63935.1,64201,63591.63820657947,63993.459311301136,63192.34017533965,0,0
1781968800,64201,64356.6,64142.5,64191.2,63592.26537797759,64002.32113089051,63184.83680666568,0,0
1781969100,64191.2,64191.4,64142,64163.4,63593.416255252974,64011.22281324515,63178.33675530203,0,0
1781969400,64163.4,64180,64060,64118.6,63595.02290958859,64020.49095173767,63172.382447362725,0,0
1781969700,64118.6,64118.7,64044.7,64104,63597.03490617112,64029.823505303044,63167.171599680725,0,0
1781970000,64104,64109.4,64045.4,64082.9,63599.42324362798,64039.145203891254,63162.72061477086,0,0
1781970300,64082.9,64177.3,64082.9,64123,63602.21575627555,64048.65818489859,63158.885193657574,0,0
1781970600,64123,64123.1,64049.8,64078.3,63605.35009989349,64058.18899304604,63155.712406562154,0,0
1781970900,64078.3,64135.6,64050,64135.6,63608.83080117235,64067.81665710211,63153.133148695364,0,0
1781971200,64135.6,64140.6,63985,63988.7,63612.573417104715,64077.83989319976,63150.685221147374,0,0
1781971500,63988.7,64016.9,63962.4,64013.8,63616.524253875876,64087.646659661004,63148.865172659534,0,0
1781971800,64013.8,64028.8,63936.1,63967.3,63620.65101390749,64097.4241321821,63147.42425665107,0,0
1781972100,63967.3,64027.6,63967.2,63995.9,63624.96082905831,64107.00803741606,63146.53833378888,0,0
1781972400,63995.9,64079.3,63947.6,64036.9,63629.46501314633,64116.80702804456,63145.827210146555,0,0
1781972700,64036.9,64055.5,63956.5,63962.6,63634.1222906499,64126.59668837462,63145.4299591027,0,0
1781973000,63962.6,63971.7,63877.6,63915,63638.85422960132,64136.274283654864,63145.29200347648,0,0
1781973300,63915,64031.1,63871,64022.3,63643.70431691303,64146.244671724264,63145.10100953935,0,0
1781973600,64022.3,64022.3,63963.7,63972,63648.673532966895,64155.945908084126,63145.41209181557,0,0
1781973900,63972,64010.7,63925.4,63990.2,63653.74179947588,64165.514937466156,63146.05047622711,0,0
1781974200,63990.2,64021.9,63982.4,63991.9,63658.92233491949,64174.7223393946,63147.268038207774,0,0
1781974500,63991.9,64000.1,63962.5,64000.1,63664.19458018148,64183.55380313909,63149.03789800711,0,0
1781974800,64000.1,64000.7,63916.9,63931,63669.51295966643,64192.23092142109,63151.05149536665,0,0
1781975100,63931,63931.1,63859.3,63865.2,63674.80850059838,64200.62491581673,63153.29863072716,0,0
1781975400,63865.2,63927.4,63860.6,63926.1,63680.095856386244,64208.731688666994,63155.81232691262,0,0
1781975700,63926.1,63926.2,63839,63901.5,63685.35509446933,64216.651421884875,63158.454446075884,0,0
1781976000,63901.5,63927.4,63846.8,63868.5,63690.574672900926,64224.34091175097,63161.244546491915,0,0
1781976300,63868.5,63961.7,63849.1,63961.6,63695.79288252644,64232.018384101015,63164.04393012115,0,0
1781976600,63961.6,64015.9,63922.9,63972.4,63701.04925157979,64239.61484021682,63166.99883467885,0,0
1781976900,63972.4,63972.4,63700.8,63797.9,63706.19589167306,64247.956794347425,63169.003303546124,0,0
1781977200,63797.9,63860.1,63768.5,63830.2,63711.22864446325,64256.02090785665,63171.055381843,0,0
1781977500,63830.2,63860.8,63771.7,63810.4,63716.14248400812,64263.79263707338,63173.1593553721,0,0
1781977800,63810.4,63828.5,63794,63809.6,63720.93435415758,64270.97639154041,63175.5996708539,0,0
1781978100,63809.6,63849.6,63805.8,63811.3,63725.616035551684,64277.65242395979,63178.32070663525,0,0
1781978400,63811.3,63902.2,63806.1,63859.8,63730.220359345796,64284.15360005772,63181.06033283958,0,0
1781978700,63859.8,63864.9,63760.1,63803.2,63734.70129565699,64290.483604819325,63183.72364743135,0,0
1781979000,63803.2,63859.8,63792.3,63794.8,63739.065879373666,64296.446572027264,63186.517074843076,0,0
1781979300,63794.8,63849.3,63794.8,63833.3,63743.32474512364,64301.99173130058,63189.51155574273,0,0
1781979600,63833.3,63848.6,63810,63842.1,63747.485855016545,64307.05273066413,63192.78804232592,0,0
1781979900,63842.1,63858.2,63823.1,63834.6,63751.5543178648,64311.63146270914,63196.35477293579,0,0
1781980200,63834.6,63859.1,63811.9,63825.5,63755.523992166134,64315.80400594156,63200.124795768155,0,0
1781980500,63825.5,63843,63800.7,63838.9,63759.39086425923,64319.55277429162,63204.10742977459,0,0
1781980800,63838.9,63838.9,63756.4,63787,63763.12341254992,64323.079151703554,63208.04229124646,0,0
1781981100,63787,63810,63779.1,63795.9,63766.72472627271,64326.1090181324,63212.20487889373,0,0
1781981400,63795.9,63807.3,63753,63761.8,63770.17678528217,64328.76816886252,63216.43586507446,0,0
1781981700,63761.8,63777.5,63750.4,63775.3,63773.47664659328,64330.915709577435,63220.867894284995,0,0
1781982000,63775.3,63852.7,63761.1,63825.3,63776.67144108617,64332.9672850801,63225.18596227676,0,0
1781982300,63825.3,63879.1,63794.2,63879.1,63779.799067856344,64334.92508929103,63229.46305587991,0,0
1781982600,63879.1,63895.1,63858,63867.5,63782.88134044268,64336.55287300767,63233.97462899854,0,0
1781982900,63867.5,63891.2,63832.7,63866.3,63785.907485643525,64337.97011801246,63238.58191833119,0,0
1781983200,63866.3,63907.7,63862.8,63878.9,63788.89604283446,64339.129626512775,63243.368102492714,0,0
1781983500,63878.9,63900,63816.3,63835.3,63791.814330392925,64340.22118811296,63248.08184394549,0,0
1781983800,63835.3,63872.9,63812,63846.2,63794.6559907514,64341.11595489382,63252.837203374074,0,0
1781984100,63846.2,63872.4,63837.2,63872.4,63797.43796986474,64341.69806456223,63257.78171776996,0,0
1781984400,63872.4,63935.6,63851,63906.9,63800.196005233985,64342.28546505922,63262.67369717107,0,0
1781984700,63906.9,63920.3,63886.8,63901.9,63802.9334567843,64342.60418548844,63267.78919229633,0,0
1781985000,63901.9,63917.4,63894.2,63894.2,63805.64755093401,64342.60848933459,63273.16773408161,0,0
1781985300,63894.2,63909.5,63886,63908.6,63808.336138654406,64342.31313383365,63278.79061970741,0,0
1781985600,63908.6,63935.9,63885.4,63902.3,63811.003999906614,64341.884656138354,63284.503605034435,0,0
1781985900,63902.3,63957.2,63899.6,63916.1,63813.6652996566,64341.383776827846,63290.275091086376,0,0
1781986200,63916.1,63953.9,63916.1,63932.5,63816.32726526884,64340.71597126393,63296.21242397706,0,0
1781986500,63932.5,63950.1,63914,63938.3,63818.987270889644,64339.879872362864,63302.311791095985,0,0
1781986800,63938.3,63938.3,63912.3,63912.3,63821.630150034754,64338.81588751159,63308.60179536579,0,0
1781987100,63912.3,63931.3,63875.2,63881.2,63824.22993398838,64337.67446151375,63314.88293229143,0,0
1781987400,63881.2,63891,63822.9,63844.6,63826.74444509838,64336.48376935459,63321.043796310114,0,0
1781987700,63844.6,63861.7,63822.7,63861.7,63829.170967858045,64335.0846541923,63327.23564977178,0,0
1781988000,63861.7,63870.4,63836.9,63848,63831.51393723579,64333.460528665135,63333.48366522369,0,0
1781988300,63848,63880.9,63847.8,63872.4,63833.789448002084,64331.63539356549,63339.79620389726,0,0
1781988600,63872.4,63910.2,63865.8,63890.3,63836.01919660107,64329.70232969164,63346.12471831647,0,0
1781988900,63890.3,63905,63886.6,63905,63838.21275885953,64327.53619672067,63352.61148169343,0,0
1781989200,63905,63930,63895.7,63910.9,63840.38244674379,64325.248670456625,63359.17101270929,0,0
1781989500,63910.9,63911,63898.4,63911,63842.52199712505,64322.72395976145,63365.90498721957,0,0
1781989800,63911,64028.3,63910.9,63960.1,63844.68813444298,64320.60228610905,63372.29531609323,0,0
1781990100,63960.1,63963.6,63914.3,63929.4,63846.848064482045,64318.46837710843,63378.68594551129,0,0
1781990400,63929.4,63963.3,63900.1,63950.8,63849.00219160394,64316.40268142735,63384.99839700568,0,0
1781990700,63950.8,63963.6,63891.7,63901.5,63851.13024451345,64314.43297940144,63391.16500968899,0,0
1781991000,63901.5,63917.1,63890.1,63908.8,63853.218186947226,64312.2996699198,63397.41377242175,0,0
1781991300,63908.8,63930.7,63902.3,63917.9,63855.27696519195,64310.030824734495,63403.73879486797,0,0
1781991600,63917.9,64023.7,63916.6,63999.1,63857.36642466017,64308.123067075445,63409.76928280238,0,0
1781991900,63999.1,64035,63959.9,64031.8,63859.51125127943,64306.41668375341,63415.71164363406,0,0
1781992200,64031.8,64065.9,63978.8,64005.7,63861.71458468664,64304.97721230452,63421.50742439899,0,0
1781992500,64005.7,64005.7,63964,63983.8,63863.94065267276,64303.516743513006,63427.36948519323,0,0
1781992800,63983.8,64014.6,63957,63996.6,63866.19104496387,64302.12872531584,63433.20881359808,0,0
1781993100,63996.6,64010.9,63976.4,64002.4,63868.46944240768,64300.69279104134,63439.15145940843,0,0
1781993400,64002.4,64136,63970.4,64109.8,63870.845127355635,64299.99681433613,63444.557688890876,0,0
1781993700,64109.8,64109.8,64039.3,64072.1,63873.313196723895,64299.4947280152,63449.95642631729,0,0
1781994000,64072.1,64211.4,64050.5,64187.1,63875.94029485426,64299.741708317,63454.93216847606,0,0
1781994300,64187.1,64326.3,64135.3,64273.3,63878.808532835996,64300.958641764664,63459.42993335652,0,0
1781994600,64273.3,64339.3,64230,64281,63881.94160954765,64302.696784210304,63463.93958406627,0,0
1781994900,64281,64281,64218.7,64234,63885.28773942991,64304.640351159,63468.669869890546,0,0
1781995200,64234,64284.5,64214.5,64250.6,63888.839560810215,64306.82534224513,63473.57063116439,0,0
1781995500,64250.6,64255,64215.4,64254.9,63892.576971909635,64309.06692338078,63478.784367608576,0,0
1781995800,64254.9,64296.5,64245.8,64261.9,63896.513585526394,64311.445809026896,63484.258471021545,0,0
1781996100,64261.9,64284.9,64238.6,64242,63900.62460835552,64313.91752854947,63489.98758356409,0,0
1781996400,64242,64271,64219.9,64263.4,63904.89495203611,64316.49810770848,63495.92591300167,0,0
1781996700,64263.4,64267.7,64223.1,64267.6,63909.31492566615,64319.14648611786,63502.09474793822,0,0
1781997000,64267.6,64267.6,64226.4,64227.1,63913.86186340002,64321.826751652145,63508.48451593229,0,0
