symbol,timeframe,scenario,entryAt,chopCut,alignCut,netRCanon,netRT100
BTC/USDT,30m,ote,1772285400000,true,false,-1.0193135080856137,-1.0193135080856137
BTC/USDT,30m,ote,1772395200000,true,false,1.3961715824132077,0.23898964857097008
BTC/USDT,30m,ote,1772530200000,true,false,0.338162766772273,0.21804973734547428
BTC/USDT,30m,ote,1772526600000,true,false,0.3754522058928761,0.2524707580721881
BTC/USDT,30m,ote,1772771400000,false,false,0.38427223543331723,0.26061232380182503
BTC/USDT,30m,ote,1773034200000,true,false,-1.0162615268144195,-1.0162615268144195
BTC/USDT,30m,ote,1773228600000,false,false,1.3447459088899412,0.18756397504771394
BTC/USDT,30m,ote,1773439200000,true,false,1.3728571122769146,0.2156751784346691
BTC/USDT,30m,ote,1774263600000,false,false,0.3806559175609962,0.25718003664467753
BTC/USDT,30m,ote,1774234800000,true,false,0.3142766159473607,0.1959068351551675
BTC/USDT,30m,deep,1774263600000,true,false,-1.1858061051380002,-1.1858061051380002
BTC/USDT,30m,ote,1774389600000,true,false,-1.1102869019495474,0.17846913311631293
BTC/USDT,30m,deep,1774398600000,true,false,-1.227665719718175,-1.227665719718175
BTC/USDT,30m,ote,1775516400000,true,false,1.4063199665324237,0.2491380326901861
BTC/USDT,30m,ote,1775957400000,true,false,-1.1126419700364776,-1.1126419700364776
BTC/USDT,30m,deep,1775957400000,true,false,-1.231030859813274,-1.231030859813274
BTC/USDT,30m,ote,1775860200000,true,false,-1.073524153483837,0.20850779574159287
BTC/USDT,30m,deep,1775957400000,true,false,-1.1505423681630773,-1.1505423681630773
BTC/USDT,30m,ote,1776191400000,true,false,0.3689510660061773,0.24646970586908212
BTC/USDT,30m,ote,1777888800000,true,false,0.3675778505686101,0.24520212238824807
BTC/USDT,30m,ote,1777973400000,true,false,1.312838918910057,0.1556569850678222
BTC/USDT,30m,ote,1778349600000,false,false,0.340102534407924,0.21974614450338026
BTC/USDT,30m,ote,1778464800000,true,false,-1.0561251340900484,0.22342124093626403
BTC/USDT,30m,ote,1778612400000,true,false,0.3187999066453684,0.20008218041486928
BTC/USDT,30m,deep,1778774400000,true,false,3.8519287795970456,1.4685387272410513
BTC/USDT,30m,ote,1778767200000,true,false,1.389306473413766,0.23096677875727736
BTC/USDT,30m,deep,1778774400000,true,false,3.915476670427304,1.5320866180712707
BTC/USDT,30m,ote,1779568200000,true,false,1.3768297466725903,0.21849005201610472
BTC/USDT,30m,deep,1779570000000,true,false,3.8898046620017066,1.5064146096456967
BTC/USDT,30m,ote,1779568200000,false,false,1.415202842792063,0.25686314813557465
BTC/USDT,30m,deep,1779568200000,false,false,3.9187026241057588,1.5353125717497347
BTC/USDT,30m,ote,1779568200000,false,false,1.4164986528896961,0.2581589582332059
BTC/USDT,30m,deep,1779568200000,false,false,3.93383363280985,1.5504435804538415
BTC/USDT,30m,ote,1780020000000,true,false,-1.12543178804938,0.16401553754254378
BTC/USDT,30m,deep,1780059600000,true,false,-1.2573470822167885,-1.2573470822167885
