ladder,symbol,timeframe,scenario,entryAt,direction,netR
t100-241,BTC/USDT,15m,deep,1769200200000,long,-1.1526375211770894
t100-141-241,BTC/USDT,15m,deep,1769200200000,long,-1.1526375211770894
t100-161-241,BTC/USDT,15m,deep,1769200200000,long,-1.1526375211770894
t100-only,BTC/USDT,15m,deep,1769200200000,long,-1.1526375211770894
canon,BTC/USDT,15m,ote,1769415300000,short,0.22799720573481227
t100-241,BTC/USDT,15m,ote,1769415300000,short,-0.03294745075373388
t100-141-241,BTC/USDT,15m,ote,1769415300000,short,-0.0826847018887377
t100-161-241,BTC/USDT,15m,ote,1769415300000,short,-0.0826847018887377
t100-only,BTC/USDT,15m,ote,1769415300000,short,0.11626430265127753
canon,BTC/USDT,15m,ote,1769390100000,short,1.4000817312673894
t100-241,BTC/USDT,15m,ote,1769390100000,short,1.1391370747788405
t100-141-241,BTC/USDT,15m,ote,1769390100000,short,1.0139684997152258
t100-161-241,BTC/USDT,15m,ote,1769390100000,short,1.0988285506058122
t100-only,BTC/USDT,15m,ote,1769390100000,short,0.2417420366108994
canon,BTC/USDT,15m,ote,1769784300000,short,0.2955595408634667
t100-241,BTC/USDT,15m,ote,1769784300000,short,0.03461488437491729
t100-141-241,BTC/USDT,15m,ote,1769784300000,short,-0.013389999192686998
t100-161-241,BTC/USDT,15m,ote,1769784300000,short,-0.013389999192686998
t100-only,BTC/USDT,15m,ote,1769784300000,short,0.17862953507773016
canon,BTC/USDT,15m,deep,1769799600000,short,3.807787996259337
t100-241,BTC/USDT,15m,deep,1769799600000,short,3.2708704569923306
t100-141-241,BTC/USDT,15m,deep,1769799600000,short,3.013324645474008
t100-161-241,BTC/USDT,15m,deep,1769799600000,short,3.187931975316943
t100-only,BTC/USDT,15m,deep,1769799600000,short,1.4243979439033516
canon,BTC/USDT,15m,ote,1770003900000,short,0.3647461409714133
t100-241,BTC/USDT,15m,ote,1770003900000,short,0.10380148448286453
t100-141-241,BTC/USDT,15m,ote,1770003900000,short,0.05757061630264416
